_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
6509a0b2b3a5cd1526742ee9||117.19|93.34|128.79|78.11|586,15,4,1|time|60|-1|12|60|0|185.61|false|false|english|none|normal|false|false|false||1695129778000
6509962ab3a5cd15265e375b||115.77|94.93|123.97|76.68|579,10,4,0|time|60|-1|28|60.01|0|190.56|false|false|english|none|normal|false|false|false||1695127082000
65093049b3a5cd15268b9f72||119.99|97.45|124.19|78.11|600,6,0,1|time|60|-1|7|60|0|73.16|false|false|english|none|normal|false|false|false||1695101001000
65092783b3a5cd15267d15ab||103.78|94.47|112.78|76.69|519,10,1,2|time|60|-1|4|60.01|0|20.85|false|false|english|none|normal|false|false|false||1695098755000
65091c59b3a5cd1526602b92||116.17|95.08|123.37|77.56|581,11,1,4|time|60|-1|16|60.01|0|189.99|false|false|english|none|normal|false|false|false||1695095897000
65090a5bb3a5cd15263be8db||115.19|92.76|127.39|78.68|576,20,5,3|time|60|-1|11|60|0|77.65|false|false|english|none|normal|false|false|false||1695091291000
65090534b3a5cd1526349e3a||110.79|95.52|118.59|76.64|554,11,0,3|time|60|-1|24|60.01|0|149.63|false|false|english|none|normal|false|false|false||1695089972000
65090351b3a5cd15262d6b3c||115.39|95.92|120.59|76.15|577,9,1,1|time|60|-1|3|60.01|0|31.9|false|false|english|none|normal|false|false|false||1695089489000
65087330b3a5cd15260329fa||115.58|93.47|127.58|78.51|578,22,6,3|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1695052592000
650872a3b3a5cd1526032215||116.37|93.25|124.57|76.92|582,17,4,3|time|60|-1|0|60.02|0|0|false|false|english|none|normal|false|false|false||1695052451000
65087265b3a5cd1526031ebf||110.19|95.9|113.99|75.33|551,5,2,1|time|60|-1|6|60.01|0|23.67|false|false|english|none|normal|false|false|false||1695052389000
650871d1b3a5cd15260316e4||111.59|94.83|122.19|76.29|558,13,3,3|time|60|-1|7|60.01|0|91.68|false|false|english|none|normal|false|false|false||1695052241000
65086bb9b3a5cd1526f4762b||117.18|94.87|127.18|78.24|586,14,5,6|time|60|-1|4|60.01|0|27.18|false|false|english|none|normal|false|false|false||1695050681000
650866abb3a5cd1526ed0827||120.99|94.1|130.99|79.47|605,20,5,1|time|60|-1|42|60|0|449.44|false|false|english|none|normal|false|false|false||1695049387000
650852a0b3a5cd1526c11553||120.98|96.87|125.98|77.46|605,6,1,1|time|60|-1|7|60.01|0|132.52|false|false|english|none|normal|false|false|false||1695044256000
650850e2b3a5cd1526bd6a93||122.4|94.84|130.2|78.36|612,18,3,1|time|60|-1|4|60|0|41.5|false|false|english|none|normal|false|false|false||1695043810000
65085039b3a5cd1526b9cfc2||113.78|94.43|123.38|77.29|569,9,8,2|time|60|-1|6|60.01|0|79.52|false|false|english|none|normal|false|false|false||1695043641000
650843cdb3a5cd1526a3cb7e||110.39|94.93|115.39|77.91|552,10,1,0|time|60|-1|18|60.01|0|130.7|false|false|english|none|normal|false|false|false||1695040461000
65083f92b3a5cd15269c7752||112.76|93.78|123.56|77.53|564,16,7,3|time|60|-1|8|60.02|0|72.36|false|false|english|none|normal|false|false|false||1695039378000
